Elapsed time,SpO2,hr
'0:00.000',97.99996948,97.99957274
'0:01.000',97.99996948,97.99957274
'0:02.000',97.99996948,96.99978637
'0:03.000',96.99987793,96.00000000
'0:04.000',95.99993896,94.00042726
'0:05.000',96.99987793,94.00042726
'0:06.000',96.99987793,94.00042726
'0:07.000',96.99987793,94.00042726
'0:08.000',95.99993896,95.00021363
'0:09.000',95.99993896,95.00021363
'0:10.000',95.99993896,95.00021363
'0:11.000',95.00000000,93.00064089
'0:12.000',95.00000000,93.00064089
'0:13.000',95.00000000,91.00021363
'0:14.000',95.00000000,91.00021363
'0:15.000',95.99993896,90.00042726
'0:16.000',95.99993896,90.00042726
'0:17.000',95.99993896,90.00042726
'0:18.000',95.99993896,90.00042726
'0:19.000',95.99993896,90.00042726
'0:20.000',95.00000000,91.00021363
'0:21.000',95.00000000,91.00021363
'0:22.000',93.99990844,92.00000000
'0:23.000',93.00012207,91.00021363
'0:24.000',93.00012207,90.00042726
'0:25.000',93.00012207,90.00042726
'0:26.000',93.00012207,90.00042726
'0:27.000',93.99990844,90.00042726
'0:28.000',93.99990844,90.00042726
'0:29.000',95.00000000,89.00064089
'0:30.000',95.00000000,88.00000000
'0:31.000',95.00000000,87.00021363
'0:32.000',95.00000000,87.00021363
'0:33.000',93.99990844,85.00064089
'0:34.000',93.99990844,84.00000000
'0:35.000',93.99990844,84.00000000
'0:36.000',93.99990844,82.00042726
'0:37.000',93.99990844,82.00042726
'0:38.000',93.99990844,83.00021363
'0:39.000',93.99990844,82.00042726
'0:40.000',93.99990844,82.00042726
'0:41.000',93.99990844,81.00064089
'0:42.000',93.99990844,81.00064089
'0:43.000',93.99990844,80.00000000
'0:44.000',93.99990844,80.00000000
'0:45.000',93.99990844,81.00064089
'0:46.000',93.99990844,81.00064089
'0:47.000',93.99990844,81.00064089
'0:48.000',93.99990844,82.00042726
'0:49.000',93.99990844,82.00042726
'0:50.000',93.99990844,83.00021363
'0:51.000',93.99990844,83.00021363
