Elapsed time,SpO2,hr
'0:00.000',94.99993896,66.00033570
'0:01.000',94.99993896,66.00033570
'0:02.000',94.99993896,65.00064089
'0:03.000',94.99993896,65.00064089
'0:04.000',94.99993896,65.00064089
'0:05.000',94.99993896,65.00064089
'0:06.000',94.99993896,65.00064089
'0:07.000',94.99993896,65.00064089
'0:08.000',94.99993896,65.00064089
'0:09.000',94.99993896,65.00064089
'0:10.000',94.99993896,65.00064089
'0:11.000',94.99993896,64.00001526
'0:12.000',94.99993896,64.00001526
'0:13.000',94.99993896,64.00001526
'0:14.000',94.99993896,64.00001526
'0:15.000',94.99993896,65.00064089
'0:16.000',94.99993896,65.00064089
'0:17.000',94.99993896,65.00064089
'0:18.000',94.99993896,65.00064089
'0:19.000',94.99993896,66.00033570
'0:20.000',94.99993896,65.00064089
'0:21.000',94.99993896,64.00001526
'0:22.000',94.99993896,64.00001526
'0:23.000',94.99993896,63.00032044
'0:24.000',94.99993896,63.00032044
'0:25.000',94.99993896,63.00032044
'0:26.000',94.99993896,63.00032044
'0:27.000',94.99993896,63.00032044
'0:28.000',94.99993896,64.00001526
'0:29.000',94.99993896,64.00001526
'0:30.000',94.99993896,64.00001526
'0:31.000',94.99993896,63.00032044
'0:32.000',94.99993896,63.00032044
'0:33.000',94.99993896,62.00062563
'0:34.000',94.99993896,61.00000000
'0:35.000',94.99993896,61.00000000
'0:36.000',94.99993896,60.00030519
'0:37.000',94.99993896,60.00030519
'0:38.000',94.99993896,60.00030519
'0:39.000',94.99993896,60.00030519
'0:40.000',94.99993896,60.00030519
'0:41.000',94.99993896,60.00030519
'0:42.000',94.99993896,60.00030519
'0:43.000',94.99993896,61.00000000
'0:44.000',94.99993896,60.00030519
'0:45.000',94.99993896,60.00030519
'0:46.000',94.99993896,60.00030519
'0:47.000',94.99993896,59.00061037
'0:48.000',94.99993896,59.00061037
'0:49.000',94.99993896,59.00061037
'0:50.000',94.00006104,59.00061037
'0:51.000',94.00006104,60.00030519
'0:52.000',94.00006104,62.00062563
'0:53.000',94.00006104,62.00062563
'0:54.000',94.00006104,64.00001526
'0:55.000',94.00006104,63.00032044
'0:56.000',94.00006104,62.00062563
'0:57.000',94.00006104,62.00062563
'0:58.000',94.00006104,61.00000000
'0:59.000',94.00006104,61.00000000
'1:00.000',94.00006104,60.00030519
'1:01.000',94.00006104,60.00030519
'1:02.000',94.00006104,60.00030519
'1:03.000',94.00006104,60.00030519
'1:04.000',94.00006104,59.00061037
'1:05.000',94.00006104,59.00061037
'1:06.000',94.99993896,60.00030519
'1:07.000',94.99993896,60.00030519
'1:08.000',94.99993896,60.00030519
'1:09.000',94.99993896,60.00030519
'1:10.000',94.99993896,60.00030519
'1:11.000',94.99993896,60.00030519
