Elapsed time,SpO2,hr
'0:00.000',97.99993896,99.99938963
'0:01.000',97.99993896,99.99938963
'0:02.000',97.99993896,98.99983215
'0:03.000',97.99993896,98.99983215
'0:04.000',97.99993896,98.99983215
'0:05.000',97.99993896,90.99917600
'0:06.000',97.99993896,86.00054933
'0:07.000',97.99993896,83.00019837
'0:08.000',97.99993896,80.00068667
'0:09.000',97.99993896,79.00028993
'0:10.000',97.99993896,79.00028993
'0:11.000',97.99993896,80.00068667
'0:12.000',97.99993896,80.00068667
'0:13.000',97.99993896,84.00059511
'0:14.000',97.99993896,84.00059511
'0:15.000',97.99993896,85.00015259
'0:16.000',97.99993896,82.00064089
'0:17.000',97.99993896,80.00068667
'0:18.000',97.99993896,78.00073244
'0:19.000',97.99993896,74.00082400
'0:20.000',97.99993896,74.00082400
'0:21.000',97.99993896,74.00082400
'0:22.000',97.99993896,74.00082400
'0:23.000',97.99993896,74.00082400
'0:24.000',97.99993896,73.00042726
'0:25.000',97.99993896,73.00042726
'0:26.000',97.99993896,72.00003052
'0:27.000',97.99993896,72.00003052
'0:28.000',96.99990844,72.00003052
'0:29.000',96.99990844,71.00047304
'0:30.000',96.99990844,71.00047304
'0:31.000',96.99990844,71.00047304
'0:32.000',96.99990844,71.00047304
'0:33.000',96.99990844,71.00047304
'0:34.000',96.99990844,70.00007630
'0:35.000',96.99990844,70.00007630
'0:36.000',96.99990844,69.00051881
'0:37.000',96.99990844,69.00051881
'0:38.000',96.99990844,68.00012207
'0:39.000',96.99990844,69.00051881
'0:40.000',96.99990844,69.00051881
'0:41.000',96.99990844,70.00007630
'0:42.000',96.99990844,70.00007630
'0:43.000',96.99990844,70.00007630
'0:44.000',96.99990844,70.00007630
'0:45.000',97.99993896,69.00051881
'0:46.000',97.99993896,69.00051881
'0:47.000',96.99990844,70.00007630
'0:48.000',96.99990844,70.00007630
'0:49.000',96.99990844,70.00007630
'0:50.000',97.99993896,71.00047304
'0:51.000',96.99990844,71.00047304
'0:52.000',97.99993896,71.00047304
'0:53.000',96.99990844,71.00047304
'0:54.000',96.99990844,71.00047304
'0:55.000',96.99990844,71.00047304
'0:56.000',96.99990844,71.00047304
'0:57.000',96.99990844,71.00047304
'0:58.000',96.99990844,71.00047304
'0:59.000',96.99990844,72.00003052
'1:00.000',96.99990844,72.00003052
'1:01.000',96.99990844,72.00003052
'1:02.000',96.99990844,72.00003052
'1:03.000',96.99990844,72.00003052
'1:04.000',96.99990844,70.00007630
'1:05.000',96.99990844,69.00051881
'1:06.000',96.99990844,68.00012207
'1:07.000',96.99990844,68.00012207
'1:08.000',96.99990844,68.00012207
'1:09.000',96.99990844,68.00012207
'1:10.000',96.99990844,69.00051881
'1:11.000',96.99990844,68.00012207
'1:12.000',96.99990844,68.00012207
'1:13.000',96.99990844,68.00012207
'1:14.000',96.99990844,68.00012207
'1:15.000',96.99990844,68.00012207
'1:16.000',96.99990844,68.00012207
'1:17.000',96.99990844,67.00056459
'1:18.000',96.99990844,67.00056459
'1:19.000',96.99990844,67.00056459
'1:20.000',96.99990844,68.00012207
'1:21.000',96.99990844,69.00051881
'1:22.000',96.99990844,70.00007630
'1:23.000',96.00000000,71.00047304
'1:24.000',96.00000000,71.00047304
'1:25.000',96.00000000,72.00003052
'1:26.000',96.00000000,71.00047304
'1:27.000',96.00000000,70.00007630
'1:28.000',96.00000000,70.00007630
'1:29.000',96.00000000,69.00051881
'1:30.000',96.00000000,69.00051881
'1:31.000',96.00000000,69.00051881
'1:32.000',96.00000000,69.00051881
'1:33.000',96.00000000,69.00051881
'1:34.000',96.00000000,70.00007630
'1:35.000',96.00000000,69.00051881
'1:36.000',96.00000000,69.00051881
'1:37.000',96.00000000,68.00012207
'1:38.000',96.00000000,69.00051881
'1:39.000',96.00000000,69.00051881
'1:40.000',96.00000000,70.00007630
'1:41.000',96.00000000,70.00007630
'1:42.000',96.00000000,70.00007630
'1:43.000',96.00000000,71.00047304
'1:44.000',96.00000000,71.00047304
'1:45.000',96.00000000,71.00047304
'1:46.000',96.00000000,71.00047304
'1:47.000',96.00000000,71.00047304
'1:48.000',96.00000000,71.00047304
'1:49.000',96.00000000,71.00047304
'1:50.000',96.00000000,70.00007630
'1:51.000',96.00000000,70.00007630
'1:52.000',96.00000000,69.00051881
'1:53.000',96.00000000,69.00051881
'1:54.000',96.00000000,69.00051881
'1:55.000',96.00000000,69.00051881
'1:56.000',96.00000000,68.00012207
'1:57.000',96.00000000,68.00012207
'1:58.000',96.00000000,68.00012207
'1:59.000',96.00000000,68.00012207
'2:00.000',96.00000000,68.00012207
'2:01.000',96.00000000,67.00056459
'2:02.000',96.00000000,67.00056459
'2:03.000',96.00000000,67.00056459
'2:04.000',96.00000000,67.00056459
'2:05.000',96.00000000,67.00056459
'2:06.000',96.00000000,67.00056459
'2:07.000',96.00000000,68.00012207
'2:08.000',96.00000000,68.00012207
'2:09.000',96.00000000,68.00012207
'2:10.000',96.00000000,69.00051881
'2:11.000',96.00000000,69.00051881
'2:12.000',96.00000000,68.00012207
'2:13.000',96.00000000,68.00012207
'2:14.000',96.00000000,68.00012207
'2:15.000',96.00000000,68.00012207
'2:16.000',96.00000000,68.00012207
'2:17.000',96.00000000,68.00012207
'2:18.000',96.00000000,68.00012207
'2:19.000',96.00000000,69.00051881
'2:20.000',96.00000000,70.00007630
'2:21.000',96.00000000,71.00047304
'2:22.000',96.00000000,71.00047304
'2:23.000',96.00000000,70.00007630
'2:24.000',96.00000000,70.00007630
'2:25.000',96.00000000,68.00012207
'2:26.000',96.00000000,68.00012207
'2:27.000',96.00000000,67.00056459
'2:28.000',96.00000000,67.00056459
'2:29.000',96.00000000,68.00012207
'2:30.000',96.00000000,69.00051881
'2:31.000',96.00000000,69.00051881
'2:32.000',96.00000000,70.00007630
'2:33.000',96.00000000,70.00007630
'2:34.000',96.00000000,70.00007630
'2:35.000',96.00000000,69.00051881
'2:36.000',96.00000000,69.00051881
